date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:00	123/123	---M-Z	200	added ('OK')	text/plain	date:Tue,%2022%20Apr%202025%2015:22:59%20GMT	https://baskinrobbinsoc.com/robots.txt		(from )
11:23:01	84523/84523	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Apr%202025%2015:23:01%20GMT	https://baskinrobbinsoc.com/	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/index.html	(from )
11:23:02	146/146	---M--	403	error ('Forbidden')	text/html	date:Tue,%2022%20Apr%202025%2015:23:02%20GMT	https://baskinrobbinsoc.com/xmlrpc.php	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/xmlrpc.php	(from https://baskinrobbinsoc.com/)
11:23:04	20307/20307	---MCZ	200	added ('OK')	text/css	etag:W/%2267e84604-4f53%22	https://baskinrobbinsoc.com/wp-content/plugins/photo-gallery/booster/assets/css/global.css?ver=1.0.0	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/photo-gallery/booster/assets/css/global8a54.css	(from https://baskinrobbinsoc.com/)
11:23:05	116363/116363	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Mar%202025%2012:48:38%20GMT	https://c0.wp.com/c/6.8/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/baskin/c0.wp.com/c/6.8/wp-includes/css/dist/block-library/style.min.css	(from https://baskinrobbinsoc.com/)
11:23:05	1255/1255	---M-Z	200	added ('OK')	application/rss+xml	etag:%2216e84587fbd5d83db3f1343c42621a62-gzip%22	https://baskinrobbinsoc.com/feed/	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/feed/index.html	(from https://baskinrobbinsoc.com/)
11:23:06	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.8/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/baskin/c0.wp.com/c/6.8/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://baskinrobbinsoc.com/)
11:23:06	831/831	---M-Z	200	added ('OK')	application/rss+xml	etag:%2216e84587fbd5d83db3f1343c42621a62-gzip%22	https://baskinrobbinsoc.com/comments/feed/	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/comments/feed/index.html	(from https://baskinrobbinsoc.com/)
11:23:07	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.8/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/baskin/c0.wp.com/c/6.8/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://baskinrobbinsoc.com/)
11:23:08	153871/153871	---MCZ	200	added ('OK')	text/css	etag:W/%2267c7f928-2590f%22	https://baskinrobbinsoc.com/wp-content/plugins/foogallery/extensions/default-templates/shared/css/foogallery.min.css?ver=2.4.30	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/foogallery/extensions/default-templates/shared/css/foogallery.min65c3.css	(from https://baskinrobbinsoc.com/)
11:23:09	20883/20883	---MCZ	200	added ('OK')	text/css	etag:W/%2267e105c0-5193%22	https://baskinrobbinsoc.com/wp-content/plugins/nimble-builder/assets/front/css/sek-base-light.min.css?ver=3.3.8	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/nimble-builder/assets/front/css/sek-base-light.minb186.css	(from https://baskinrobbinsoc.com/)
11:23:10	4028/4028	---MCZ	200	added ('OK')	text/css	etag:W/%2267e84604-fbc%22	https://baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts.css?ver=0.0.1	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts622c.css	(from https://baskinrobbinsoc.com/)
11:23:11	7610/7610	---MCZ	200	added ('OK')	text/css	etag:W/%2267e84604-1dba%22	https://baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/sumoselect.min.css?ver=3.4.6	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/sumoselect.min9bf7.css	(from https://baskinrobbinsoc.com/)
11:23:13	42800/42800	---MCZ	200	added ('OK')	text/css	etag:W/%2267e84604-a730%22	https://baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min.css?ver=3.1.5	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.minc6bd.css	(from https://baskinrobbinsoc.com/)
11:23:14	45548/45548	---MCZ	200	added ('OK')	text/css	etag:W/%2267e84604-b1ec%22	https://baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/styles.min.css?ver=1.8.35	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/photo-gallery/css/styles.minb594.css	(from https://baskinrobbinsoc.com/)
11:23:15	78420/78420	---MCZ	200	added ('OK')	text/css	etag:W/%2267ae433c-13254%22	https://baskinrobbinsoc.com/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.9.5	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style76ed.css	(from https://baskinrobbinsoc.com/)
11:23:15	67/67	---M--	200	added ('OK')	text/css	etag:%2243-62e0ac969b10e%22	https://baskinrobbinsoc.com/wp-content/plugins/ultimate-social-media-icons/css/disable_sfsi.css?ver=1947842edc5fda09a01cb2ec69fb587f	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/plugins/ultimate-social-media-icons/css/disable_sfsi8846.css	(from https://baskinrobbinsoc.com/)
11:23:17	59106/59106	---MCZ	200	added ('OK')	text/css	etag:W/%22675a0057-e6e2%22	https://baskinrobbinsoc.com/wp-content/themes/customizr/assets/shared/fonts/fa/css/fontawesome-all.min.css?ver=4.4.24	C:/My%20Web%20Sites/baskin/baskinrobbinsoc.com/wp-content/themes/customizr/assets/shared/fonts/fa/css/fontawesome-all.minfbb2.css	(from https://baskinrobbinsoc.com/)
